user_id,session_id,timestamp,avg_dwell_time,std_dwell_time,avg_flight_time,std_flight_time,typing_speed,backspace_rate,pause_count,otp_response_time,otp_attempts_count,total_otps_sent,current_amount,current_merchant,current_category,current_hour_of_day,is_weekend,last_txn1_id,last_txn1_amount,last_txn1_merchant,last_txn1_category,last_txn2_id,last_txn2_amount,last_txn2_merchant,last_txn2_category,last_txn3_id,last_txn3_amount,last_txn3_merchant,last_txn3_category,amount_vs_avg_last3,time_since_last_txn,merchant_seen_before,device_id,is_known_device,geo_distance_km,fraud_score,is_flagged,flag_reason
Mannan,SESSION_1765971468,1765971468,108,23,72,18,7.5,4,0,4.364,1,1,1,kanishka,Transfer,17,0,,50,Amazon,,,60,Amazon,,,70,Amazon,,0.0166639,0,0,,1,0,0,0,
Mannan,SESSION_1765974194,1765974194,105,20,69,15,9.2,5,2,9.139,1,1,550,kanishka,Transfer,17,0,,50,Amazon,,,60,Amazon,,,70,Amazon,,9.16514,0,0,,1,0,0,0,
mannan,SESSION_1765975267,1765975267,114,17,65,14,8.7,4,0,4.686,1,1,550,kanishka,Transfer,18,0,,50,Amazon,,,60,Amazon,,,70,Amazon,,9.16514,0,0,,1,0,0,0,
Mannan,SESSION_1765975922,1765975922,114,19,61,12,8.5,4,1,7.396,1,1,600,kanishka,Transfer,18,0,,50,Amazon,,,60,Amazon,,,70,Amazon,,9.99833,0,0,,1,0,0,0,
mannan,SESSION_1765976695,1765976695,115,17,71,12,9,6,2,4.895,1,1,250,kanishka,Transfer,18,0,,50,Amazon,,,60,Amazon,,,70,Amazon,,4.16597,0,0,,1,0,0,0,
mannan,SESSION_1765977246,1765977246,111,20,65,18,7.2,4,1,6.072,1,1,350,kanishka,Transfer,18,0,,50,Amazon,,,60,Amazon,,,70,Amazon,,5.83236,0,0,,1,0,0,0,
